2201,410.0
2294,403.0
2399,400.0
2504,397.0
2605,395.0
2699,392.0
2806,389.0
2913,388.0
3004,386.0
3102,384.0
3199,382.0
3301,379.0
3407,376.0
3510,374.0
3610,369.0
3711,364.0
3816,362.0
3915,360.0
4016,359.0
4115,359.0
4215,359.0
4304,358.0
4421,357.0
4516,357.0
4614,355.0
4719,354.0
4827,353.0
4929,352.0
5017,352.0
5122,351.0
5215,350.0
5327,348.0
5418,347.0
5531,343.0
5632,339.0
5729,338.0
5813,335.0
5920,335.0
6035,336.0
6125,337.0
6232,337.0
6340,337.0
6442,338.0
6526,337.0
6637,337.0
6739,336.0
6855,335.0
6938,336.0
7040,336.0
7141,336.0
7240,334.0
7341,334.0
7440,332.0
7541,329.0
7641,327.0
7742,324.0
7859,324.0
7942,325.0
8043,326.0
8145,326.0
8246,328.0
8347,329.0
8448,328.0
8548,328.0
8650,327.0
8751,327.0
8851,328.0
8951,328.0
9051,329.0
9151,328.0
9254,328.0
9353,327.0
9456,324.0
9559,323.0
9661,320.0
9763,319.0
9863,320.0
9964,321.0
10053,321.0
10159,323.0
10265,323.0
10366,324.0
10466,324.0
10566,324.0
10666,323.0
10766,325.0
10885,325.0
10969,325.0
11069,326.0
11168,326.0
11271,324.0
11373,322.0
11473,321.0
11574,318.0
11674,315.0
11775,317.0
11894,319.0
11977,319.0
12078,321.0
12180,322.0
12280,322.0
12380,322.0
12481,322.0
12580,321.0
12682,322.0
12782,322.0
12890,324.0
12991,324.0
13089,324.0
13189,323.0
13282,321.0
13388,320.0
13488,317.0
13589,315.0
13690,315.0
13790,317.0
13890,317.0
13992,319.0
14092,320.0
14195,320.0
14295,321.0
14396,321.0
14498,321.0
14598,321.0
14699,322.0
14799,324.0
14916,324.0
14999,324.0
15101,322.0
15203,321.0
15306,320.0
15405,317.0
15506,314.0
15616,314.0
15715,315.0
15816,315.0
15916,317.0
16015,319.0
16116,319.0
16215,321.0
16316,321.0
16415,321.0
16516,322.0
16616,322.0
16715,328.0
16815,328.0
16916,328.0
17016,327.0
17118,324.0
17217,322.0
17319,319.0
17419,319.0
17520,318.0
17623,322.0
17722,322.0
17823,325.0
17926,327.0
18026,327.0
18135,326.0
18235,323.0
18335,322.0
18435,318.0
18536,318.0
18636,318.0
18738,317.0
18839,317.0
18938,316.0
19038,316.0
19139,316.0
19238,315.0
19339,315.0
19439,316.0
19539,321.0
19638,322.0
19739,326.0
19839,327.0
19939,328.0
20039,328.0
20139,325.0
20245,324.0
20344,319.0
20445,319.0
20545,318.0
20647,317.0
20747,317.0
20848,317.0
20948,316.0
21050,316.0
21149,315.0
21251,315.0
21350,316.0
21451,320.0
21554,321.0
21653,325.0
21755,328.0
21858,328.0
21958,328.0
22058,326.0
22161,325.0
22260,321.0
22361,321.0
22461,318.0
22561,318.0
22662,318.0
22762,317.0
22864,317.0
22964,317.0
23066,315.0
23167,315.0
23266,315.0
23370,319.0
23471,319.0
23572,324.0
23672,327.0
23772,327.0
23872,328.0
23973,327.0
24073,326.0
24175,322.0
24276,322.0
24376,319.0
24476,318.0
24576,318.0
24678,317.0
24779,316.0
24880,317.0
24980,316.0
25081,315.0
25183,314.0
25271,318.0
25394,319.0
25494,323.0
25594,326.0
25696,327.0
25796,328.0
25896,327.0
25996,327.0
26097,324.0
26196,323.0
26296,319.0
26397,318.0
26496,318.0
26596,317.0
